input_name,accepted_name,source
Amolops aniqiaoensis,Amolops aniqiaoensis,AmphibiaWeb
Amolops archotaphus,Amolops archotaphus,AmphibiaWeb
Amolops assamensis,Amolops assamensis,AmphibiaWeb
Amolops australis,Amolops australis,AmphibiaWeb
Amolops beibengensis,Amolops beibengensis,AmphibiaWeb
Amolops bellulus,Amolops bellulus,AmphibiaWeb
Amolops binchachaensis,Amolops binchachaensis,AmphibiaWeb
Amolops caelumnoctis,Amolops caelumnoctis,AmphibiaWeb
Amolops chakrataensis,Amolops chakrataensis,AmphibiaWeb
Amolops chanakya,Amolops chanakya,AmphibiaWeb
Amolops chaochin,Amolops chaochin,AmphibiaWeb
Amolops chayuensis,Amolops chayuensis,AmphibiaWeb
Amolops chunganensis,Amolops chunganensis,AmphibiaWeb
Amolops compotrix,Amolops compotrix,AmphibiaWeb
Amolops cremnobatus,Amolops cremnobatus,AmphibiaWeb
Amolops cucae,Amolops cucae,AmphibiaWeb
Amolops cuongi,Amolops cuongi,AmphibiaWeb
Amolops dafangensis,Amolops dafangensis,AmphibiaWeb
Amolops daiyunensis,Amolops daiyunensis,AmphibiaWeb
Amolops daorum,Amolops daorum,AmphibiaWeb
Amolops deng,Amolops deng,AmphibiaWeb
Amolops gerbillus,Amolops gerbillus,AmphibiaWeb
Amolops gerutu,Amolops gerutu,AmphibiaWeb
Amolops granulosus,Amolops granulosus,AmphibiaWeb
Amolops guangzhouensis,Amolops guangzhouensis,AmphibiaWeb
Amolops gudao,Amolops gudao,AmphibiaWeb
